id	codigo	direccion	localidad	provincia	ubicacion	latitud	longitud	fuente	fecha_creacion
276	354	Parana 1053	Capital Federal	Capital Federal		-32.940096071987064	-60.692194259828490	Georef	2026-06-22 15:59:04.783
277	355	Pueyrredon 1054	Capital Federal	Capital Federal		-29.886291323623787	-60.285978569889345	Georef	2026-06-22 15:59:08.870
278	357	Sarmiento 1592	Capital Federal	Capital Federal		-42.775825672976380	-65.052986582917430	Georef	2026-06-22 15:59:13.483
280	361	468	Juan Manuel de Rosas 6956	Buenos Aires		-34.754371353176700	-58.238637767347250	Georef	2026-06-22 15:59:31.853
281	362	Av. Directorio 1069	Capital Federal	Capital Federal		-34.629299920861840	-58.442568356683680	Georef	2026-06-22 15:59:35.657
282	363	Independencia 1833	Capital Federal	Capital Federal		-34.661795205649990	-58.720148113700290	Georef	2026-06-22 15:59:39.547
283	364	471	Av. Honorio Luque 6125	Laferrere		-34.865516155199650	-58.044859038752650	Georef	2026-06-22 15:59:43.360
284	365	Av. Nazca 1944	Capital Federal	Capital Federal		-34.611977027782586	-58.480972340352610	Georef	2026-06-22 15:59:47.203
285	367	Av. Estado de Israel 4309	Capital Federal	Capital Federal		-34.597916842615220	-58.426572507329055	Georef	2026-06-22 15:59:51.010
286	368	Cuba 2919 II	Capital Federal	Capital Federal		-34.755731157952280	-58.705530000102854	Georef	2026-06-22 15:59:55.060
287	369	Caseros 2864	Capital Federal	Capital Federal		-36.764200164968460	-56.687379112743860	Georef	2026-06-22 15:59:58.967
288	370	477	Dr. Enrique Simón Perez 4566	Gonzalez Catan		-38.106568555503450	-57.601453286126700	Georef	2026-06-22 16:00:02.753
289	371	Av. Olazabal 5483	Capital Federal	Capital Federal		-34.579126348598150	-58.490422102000580	Georef	2026-06-22 16:00:06.793
290	373	11 de Septiembre 3910	Capital Federal	Capital Federal		-34.543206239712470	-58.463161400142590	Georef	2026-06-22 16:00:10.580
291	374	Romulo Naon 2401	Capital Federal	Capital Federal		-34.567353257334200	-58.472783081697600	Georef	2026-06-22 16:00:14.300
292	375	Esmeralda 428	Capital Federal	Capital Federal		-36.594004734061170	-64.287166854622030	Georef	2026-06-22 16:00:18.310
293	376	483	Av. Carlos Casares 642	Buenos Aires		-34.911880484556300	-58.050985996794250	Georef	2026-06-22 16:00:22.230
294	378	485	Av. Presidente Juan Domingo Perón 23866	Capital Federal		-38.105711866655750	-57.608000966894550	Georef	2026-06-22 16:00:33.040
