method,path,file,line,router_var
GET,/messages/:messageId,src/routes/whatsapp-observability.routes.ts,59,whatsappObservabilityRouter
GET,/flows/:flowExecutionId,src/routes/whatsapp-observability.routes.ts,64,whatsappObservabilityRouter
GET,/errors,src/routes/whatsapp-observability.routes.ts,69,whatsappObservabilityRouter
GET,/errors/:errorCode,src/routes/whatsapp-observability.routes.ts,74,whatsappObservabilityRouter
GET,/notifications/:notificationId,src/routes/whatsapp-observability.routes.ts,79,whatsappObservabilityRouter
GET,/message-costs/summary,src/routes/whatsapp-observability.routes.ts,85,whatsappObservabilityRouter
GET,/message-costs/by-company,src/routes/whatsapp-observability.routes.ts,90,whatsappObservabilityRouter
GET,/message-costs/by-template,src/routes/whatsapp-observability.routes.ts,95,whatsappObservabilityRouter
GET,/message-costs/detail,src/routes/whatsapp-observability.routes.ts,100,whatsappObservabilityRouter
GET,/message-costs/export.csv,src/routes/whatsapp-observability.routes.ts,105,whatsappObservabilityRouter
POST,/message-costs/resync,src/routes/whatsapp-observability.routes.ts,110,whatsappObservabilityRouter
POST,/assign-preview,src/routes/work-team-assignment.routes.ts,15,operationWorkTeamAssignmentRouter
POST,/assign,src/routes/work-team-assignment.routes.ts,22,operationWorkTeamAssignmentRouter
GET,/:batchId,src/routes/work-team-assignment.routes.ts,32,workTeamAssignmentBatchRouter
POST,/recommendations/team,src/routes/work-team.routes.ts,20,workTeamRouter
POST,/,src/routes/work-team.routes.ts,26,workTeamRouter
GET,/,src/routes/work-team.routes.ts,32,workTeamRouter
GET,/:workTeamId,src/routes/work-team.routes.ts,38,workTeamRouter
PATCH,/:workTeamId,src/routes/work-team.routes.ts,44,workTeamRouter
POST,/:workTeamId/activate,src/routes/work-team.routes.ts,51,workTeamRouter
POST,/:workTeamId/deactivate,src/routes/work-team.routes.ts,57,workTeamRouter
GET,/:workTeamId/members,src/routes/work-team.routes.ts,63,workTeamRouter
POST,/:workTeamId/members,src/routes/work-team.routes.ts,69,workTeamRouter
PUT,/:workTeamId/members,src/routes/work-team.routes.ts,76,workTeamRouter
DELETE,/:workTeamId/members/:employeeId,src/routes/work-team.routes.ts,83,workTeamRouter
GET,/:workTeamId/usage,src/routes/work-team.routes.ts,89,workTeamRouter
