store_id,official_address,neighborhood,locality
475,Av. de Mayo 1832,Ramos Mejìa,G.B.A.
476,Chilavert 1912,Villa Madero,G.B.A.
477,Dr. Enrique Simón Perez 4566,González Catán,G.B.A.
478,Misiones 6572/74,Palomar,G.B.A.
479,Eva Perón 4215,Libertad,G.B.A.
480,Av. Crovara 875,La Tablada,G.B.A.
481,Boulogne Sur Mer 1398,Tapiales,G.B.A.
482,Sullivan 1597,Merlo,G.B.A.
483,Av. Carlos Casares 642,Rafael Castillo,G.B.A.
484,Salvador Maria del Carril 49,Paso del rey,G.B.A.
485,Av. Presidente Juan Domingo Perón 23866,San Antonio de Padua,G.B.A.
486,Av. San Juan 1374,San Cristobal,C.A.B.A.
487,La Rioja 2040,Parque Patricios,C.A.B.A.
488,Av. Belgrano 1562,Monserrat,C.A.B.A.
489,Av. Caseros 2423,Parque Patricios,C.A.B.A.
491,Market Av. Montes de Oca 970,Barracas,C.A.B.A. Market
492,Pedro Lozano 3150,Villa del Parque,C.A.B.A.
493,Charcas 3940,Palermo,C.A.B.A.
494,Francisco Segui 1519,Grand Bourg,G.B.A.
495,Av. 14 N. 5072,Berazategui,G.B.A.
496,José Hernandez 130,Ezeiza,G.B.A.
497,Av. Pte. J. D. Perón 25694,Merlo,G.B.A.
498,Av. Luro 6329,Laferrere,G.B.A.
499,Av. Cristiania 1832,Atalaya,G.B.A.
512,Francisco Ramirez 43,Pilar,G.B.A.
516,Cosme Beccar 437,San Isidro,G.B.A.
521,Av. Urquiza 4855,Caseros,G.B.A.
522,Arieta 2850,San Justo,G.B.A.
524,Bernardo Irigoyen 746,Gral Rodriguez,G.B.A.
525,Crisologo Larralde 3721,Saavedra,C.A.B.A.
526,Av. Dr.Honorio Pueyrredon 925,Caballito,C.A.B.A.
527,Fray Justo Santa Maria de Oro 2121,Palermo,C.A.B.A.
528,Aguirre 236,Villa Crespo,C.A.B.A.
529,Viamonte 2296,San Nicolás,C.A.B.A.
530,Av. Rivadavia 6074,Caballito,C.A.B.A.
531,Arevalo 1736,Palermo,C.A.B.A.
533,Rosario 85,Caballito,C.A.B.A.
534,Martiniano Leguizamon 1576,Mataderos,C.A.B.A.
535,Murguiondo 4324,Lugano,C.A.B.A.
536,Av. Dr. Ricardo Balbin 4189,Saavedra,C.A.B.A.
537,Charcas 4367,Palermo,C.A.B.A.
538,Hipolito Irigoyen 3254,Boedo,C.A.B.A.
539,Av. Teniente Gral Donato Alvarez 837,Caballito,C.A.B.A.
541,Maipu 918,San Nicolás,C.A.B.A.
542,Segurola 279,Floresta,C.A.B.A.
543,Av. Olazabal 5179,Villa Urquiza,C.A.B.A.
545,Libertad 1039,Recoleta,C.A.B.A.
546,Moreno 1902,Balvanera,C.A.B.A.
547,Av. Dorrego 851,Chacarita,C.A.B.A.
548,Av. Congreso 5241,Villa Urquiza,C.A.B.A.
550,Sarmiento 3885,Almagro,C.A.B.A.
