store_id,official_address,neighborhood,locality
823,San Martin 1153,Retiro,C.A.B.A.
824,Av. San Martin 940,Cosquín,Córdoba
825,Boulevard Sarmiento 5,Villa Carlos Paz,Córdoba
826,Av. Francisco Beiro 5418,Villa Real,C.A.B.A.
827,Av. Juan B Justo 3695,Villa Crespo,C.A.B.A.
828,Av. Federico Lacroze 1735,Belgrano,C.A.B.A.
829,Arribeños 2862/2866,Nuñez,C.A.B.A.
830,Gral José de San Martin 2601,Florida,G.B.A.
831,Av. Maipu 518,Vicente Lopez,G.B.A.
833,Av. José Vicente Zapata 42,Mendoza,Mendoza
834,San Lorenzo 698,Mendoza,Mendoza
836,Pueyrredon 283/291,Mendoza,Mendoza
837,Nuñez 3802,Nuñez,C.A.B.A.
838,Soler 4072,Palermo,C.A.B.A.
839,Montevideo 461,San Nicolás,C.A.B.A.
840,Av. Tte. Gral. Donato Alvarez 194,Caballito,C.A.B.A.
841,Paso de los Andes 2212,Godoy Cruz,Mendoza
842,Juan Agustín Maza 2777,Villa Maipu,Mendoza
843,Montevideo 244,Mendoza,Mendoza
844,Nazaret 2950,Córdoba Capital,Córdoba
845,Diaz Colodrero 3187/91,Villa Urquiza,C.A.B.A.
846,Santiago Temple 212,Córdoba Capital,Córdoba
847,Av. Eden 499,La Falda,Córdoba
848,Av. Elcano 4200,Chacarita,C.A.B.A.
849,Av. Monroe 5771,Villa Urquiza,C.A.B.A.
850,Deheza 2845,Saavedra,C.A.B.A.
851,Ozamis 31,Maipu,Mendoza
852,Saenz Peña 130,Villa Allende,Córdoba
853,Av. Colón 636,Córdoba Capital,Córdoba
854,Av. Bartolome Mitre 3125/3145,Moreno,G.B.A.
855,Bartolome Mitre 4202,Almagro,C.A.B.A.
856,Bulnes 250,Almagro,C.A.B.A.
857,Perito Moreno 341,Godoy Cruz,Mendoza
858,Rio de Janeiro 838,Caballito,C.A.B.A.
859,Thames 647,Villa Crespo,C.A.B.A.
860,Lopez y Planes 265,La Cumbre,Córdoba
861,Prudencio Bustos 122,Alta Gracia,Córdoba
863,Sarmiento 119,Villa Tulumaya - Lavalle,Mendoza
864,Fray Cayetano Rodriguez 635,Flores,C.A.B.A.
865,Av. San Martín 623,Cosquín,Córdoba
